


Epoch [47/200], Average Loss: 0.513, Train Acc: 0.901, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.678
Epoch [48/200], Average Loss: 0.513, Train Acc: 0.860, Train IoU: 0.798,Validation Acc: 0.852, Validation IoU: 0.675
Epoch [49/200], Average Loss: 0.513, Train Acc: 0.881, Train IoU: 0.798,Validation Acc: 0.854, Validation IoU: 0.677
Epoch [50/200], Average Loss: 0.513, Train Acc: 0.911, Train IoU: 0.797,Validation Acc: 0.853, Validation IoU: 0.678
Epoch [51/200], Average Loss: 0.512, Train Acc: 0.879, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.676
Epoch [52/200], Average Loss: 0.513, Train Acc: 0.861, Train IoU: 0.798,Validation Acc: 0.852, Validation IoU: 0.679
Epoch [53/200], Average Loss: 0.513, Train Acc: 0.901, Train IoU: 0.797,Validation Acc: 0.853, Validation IoU: 0.678
Epoch [54/200], Average Loss: 0.512, Train Acc: 0.915, Train IoU: 0.798,Validation Acc: 0.860, Validation IoU: 0.676
Epoch [55/200], Average Loss: 0.512, Train Acc: 0.878, Train IoU: 0.799,Validation Acc: 0.859, Validation IoU: 0.676
Epoch [56/200], Average Loss: 0.512, Train Acc: 0.908, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.672
Epoch [57/200], Average Loss: 0.512, Train Acc: 0.900, Train IoU: 0.798,Validation Acc: 0.859, Validation IoU: 0.677
Epoch [58/200], Average Loss: 0.510, Train Acc: 0.887, Train IoU: 0.799,Validation Acc: 0.857, Validation IoU: 0.676
Epoch [59/200], Average Loss: 0.513, Train Acc: 0.904, Train IoU: 0.798,Validation Acc: 0.848, Validation IoU: 0.670
Epoch [60/200], Average Loss: 0.513, Train Acc: 0.874, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.672
Epoch [61/200], Average Loss: 0.513, Train Acc: 0.902, Train IoU: 0.798,Validation Acc: 0.850, Validation IoU: 0.673
Epoch [62/200], Average Loss: 0.513, Train Acc: 0.882, Train IoU: 0.798,Validation Acc: 0.850, Validation IoU: 0.672
Epoch [63/200], Average Loss: 0.513, Train Acc: 0.908, Train IoU: 0.797,Validation Acc: 0.857, Validation IoU: 0.676
Epoch [64/200], Average Loss: 0.512, Train Acc: 0.873, Train IoU: 0.798,Validation Acc: 0.857, Validation IoU: 0.680
Epoch [65/200], Average Loss: 0.512, Train Acc: 0.883, Train IoU: 0.798,Validation Acc: 0.851, Validation IoU: 0.676
Epoch [66/200], Average Loss: 0.511, Train Acc: 0.877, Train IoU: 0.798,Validation Acc: 0.854, Validation IoU: 0.670
Epoch [67/200], Average Loss: 0.512, Train Acc: 0.898, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.675
Epoch [68/200], Average Loss: 0.513, Train Acc: 0.862, Train IoU: 0.797,Validation Acc: 0.854, Validation IoU: 0.673
Epoch [69/200], Average Loss: 0.512, Train Acc: 0.885, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.674
Epoch [70/200], Average Loss: 0.513, Train Acc: 0.907, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.678
Epoch [71/200], Average Loss: 0.513, Train Acc: 0.869, Train IoU: 0.798,Validation Acc: 0.859, Validation IoU: 0.675
Epoch [72/200], Average Loss: 0.512, Train Acc: 0.839, Train IoU: 0.798,Validation Acc: 0.858, Validation IoU: 0.676
Epoch [73/200], Average Loss: 0.514, Train Acc: 0.906, Train IoU: 0.798,Validation Acc: 0.848, Validation IoU: 0.668
Epoch [74/200], Average Loss: 0.513, Train Acc: 0.826, Train IoU: 0.797,Validation Acc: 0.854, Validation IoU: 0.672
Epoch [75/200], Average Loss: 0.513, Train Acc: 0.914, Train IoU: 0.798,Validation Acc: 0.849, Validation IoU: 0.672
Epoch [76/200], Average Loss: 0.512, Train Acc: 0.888, Train IoU: 0.798,Validation Acc: 0.850, Validation IoU: 0.676
Epoch [77/200], Average Loss: 0.513, Train Acc: 0.910, Train IoU: 0.798,Validation Acc: 0.857, Validation IoU: 0.673
Epoch [78/200], Average Loss: 0.512, Train Acc: 0.868, Train IoU: 0.798,Validation Acc: 0.852, Validation IoU: 0.672
Epoch [79/200], Average Loss: 0.513, Train Acc: 0.880, Train IoU: 0.798,Validation Acc: 0.858, Validation IoU: 0.675
Epoch [80/200], Average Loss: 0.512, Train Acc: 0.894, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.678
Epoch [81/200], Average Loss: 0.513, Train Acc: 0.916, Train IoU: 0.798,Validation Acc: 0.860, Validation IoU: 0.678
Epoch [82/200], Average Loss: 0.513, Train Acc: 0.865, Train IoU: 0.798,Validation Acc: 0.861, Validation IoU: 0.679
Epoch [83/200], Average Loss: 0.511, Train Acc: 0.911, Train IoU: 0.799,Validation Acc: 0.853, Validation IoU: 0.678
Epoch [84/200], Average Loss: 0.512, Train Acc: 0.924, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.677
Epoch [85/200], Average Loss: 0.513, Train Acc: 0.903, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.676
Epoch [86/200], Average Loss: 0.512, Train Acc: 0.910, Train IoU: 0.798,Validation Acc: 0.857, Validation IoU: 0.673
Epoch [87/200], Average Loss: 0.513, Train Acc: 0.919, Train IoU: 0.798,Validation Acc: 0.851, Validation IoU: 0.673
Epoch [88/200], Average Loss: 0.512, Train Acc: 0.861, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.678
Epoch [89/200], Average Loss: 0.513, Train Acc: 0.847, Train IoU: 0.798,Validation Acc: 0.849, Validation IoU: 0.670
Epoch [90/200], Average Loss: 0.514, Train Acc: 0.851, Train IoU: 0.797,Validation Acc: 0.859, Validation IoU: 0.678
Epoch [91/200], Average Loss: 0.513, Train Acc: 0.887, Train IoU: 0.798,Validation Acc: 0.852, Validation IoU: 0.673
Epoch [92/200], Average Loss: 0.513, Train Acc: 0.890, Train IoU: 0.798,Validation Acc: 0.851, Validation IoU: 0.672
Epoch [93/200], Average Loss: 0.512, Train Acc: 0.901, Train IoU: 0.798,Validation Acc: 0.862, Validation IoU: 0.680
Epoch [94/200], Average Loss: 0.512, Train Acc: 0.886, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.677
Epoch [95/200], Average Loss: 0.513, Train Acc: 0.872, Train IoU: 0.797,Validation Acc: 0.852, Validation IoU: 0.672
Epoch [96/200], Average Loss: 0.512, Train Acc: 0.923, Train IoU: 0.798,Validation Acc: 0.851, Validation IoU: 0.675
Epoch [97/200], Average Loss: 0.512, Train Acc: 0.902, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.677
Epoch [98/200], Average Loss: 0.512, Train Acc: 0.853, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.674
Epoch [99/200], Average Loss: 0.512, Train Acc: 0.877, Train IoU: 0.798,Validation Acc: 0.851, Validation IoU: 0.671
Epoch [100/200], Average Loss: 0.512, Train Acc: 0.915, Train IoU: 0.798,Validation Acc: 0.859, Validation IoU: 0.679
Epoch [101/200], Average Loss: 0.513, Train Acc: 0.865, Train IoU: 0.798,Validation Acc: 0.857, Validation IoU: 0.678
Epoch [102/200], Average Loss: 0.513, Train Acc: 0.922, Train IoU: 0.798,Validation Acc: 0.854, Validation IoU: 0.679
Epoch [103/200], Average Loss: 0.514, Train Acc: 0.831, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.674
Epoch [104/200], Average Loss: 0.512, Train Acc: 0.903, Train IoU: 0.798,Validation Acc: 0.851, Validation IoU: 0.673
Epoch [105/200], Average Loss: 0.513, Train Acc: 0.877, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.676
Epoch [106/200], Average Loss: 0.512, Train Acc: 0.853, Train IoU: 0.798,Validation Acc: 0.859, Validation IoU: 0.680
Epoch [107/200], Average Loss: 0.513, Train Acc: 0.878, Train IoU: 0.797,Validation Acc: 0.862, Validation IoU: 0.681
Epoch [108/200], Average Loss: 0.514, Train Acc: 0.824, Train IoU: 0.798,Validation Acc: 0.849, Validation IoU: 0.668
Epoch [109/200], Average Loss: 0.513, Train Acc: 0.887, Train IoU: 0.798,Validation Acc: 0.859, Validation IoU: 0.677
Epoch [110/200], Average Loss: 0.512, Train Acc: 0.829, Train IoU: 0.798,Validation Acc: 0.860, Validation IoU: 0.676
Epoch [111/200], Average Loss: 0.511, Train Acc: 0.923, Train IoU: 0.798,Validation Acc: 0.852, Validation IoU: 0.673
Epoch [112/200], Average Loss: 0.512, Train Acc: 0.918, Train IoU: 0.799,Validation Acc: 0.852, Validation IoU: 0.676
Epoch [113/200], Average Loss: 0.513, Train Acc: 0.881, Train IoU: 0.798,Validation Acc: 0.851, Validation IoU: 0.671
Epoch [114/200], Average Loss: 0.511, Train Acc: 0.867, Train IoU: 0.798,Validation Acc: 0.859, Validation IoU: 0.679
Epoch [115/200], Average Loss: 0.512, Train Acc: 0.904, Train IoU: 0.798,Validation Acc: 0.862, Validation IoU: 0.676
Epoch [116/200], Average Loss: 0.514, Train Acc: 0.923, Train IoU: 0.797,Validation Acc: 0.859, Validation IoU: 0.674
Epoch [117/200], Average Loss: 0.512, Train Acc: 0.905, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.680
Epoch [118/200], Average Loss: 0.513, Train Acc: 0.879, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.676
Epoch [119/200], Average Loss: 0.512, Train Acc: 0.871, Train IoU: 0.798,Validation Acc: 0.855, Validation IoU: 0.678
